song_title,artist
Last Night,Morgan Wallen
Flowers,Miley Cyrus
Fast Car,Luke Combs
Like Crazy (Deep House Remix),Jimin
Like Crazy (UK Garage Remix),Jimin
Calm Down,Rema & Selena Gomez
Anti-Hero,Taylor Swift
Like Crazy (Instrumental),Jimin
Heart Like A Truck,Lainey Wilson
Eyes Closed,Ed Sheeran
You Say,Lauren Daigle
Players,Coi Leray
Like Crazy (English Version),Jimin
Thought You Should Know,Morgan Wallen
Thinkin’ Bout Me,Morgan Wallen
Like Crazy,Jimin
Thank God,Kane Brown & Katelyn Brown
Thank God I Do,Lauren Daigle
Fighting Myself,LINKIN PARK
TRUSTFALL,P!nk
Love You Anyway,Luke Combs
Growin' Up and Gettin' Old,Luke Combs
God's Country,Blake Shelton
labour,Paris Paloma
5 Leaf Clover,Luke Combs
Rock and a Hard Place,Bailey Zimmerman
Wasted On You,Morgan Wallen
wait in the truck,HARDY & Lainey Wilson
Favorite Song,Toosii
Rescue,Lauren Daigle
Unstoppable,Sia
I Ain't Worried,OneRepublic
Sounds Like Something I'd Do,Drake Milligan
Kill Bill,SZA
VOID,Melanie Martinez
NEED A FAVOR,Jelly Roll
All Of The Girls You Loved Before,Taylor Swift
You Proof,Morgan Wallen
Life's Incredible Again,Michael Giacchino
Justice for All,Donald J. Trump & J6 Prison Choir
Sure Thing,Miguel
Tennessee Whiskey,Chris Stapleton
Something in the Orange (Z&E's Version),Zach Bryan
One Thing At A Time,Morgan Wallen
Made You Look,Meghan Trainor
Chasin' You,Morgan Wallen
In Jesus Name (God Of Possible),Katy Nichole
As It Was,Harry Styles
I'm Good (Blue),David Guetta & Bebe Rexha
Hold My Hand,Lady Gaga
Rainbowland (feat. Dolly Parton),Miley Cyrus
This Is Our God,Phil Wickham
You Raise Me Up,Josh Groban
Gratitude,Brandon Lake
Eyes Closed,Ed Sheeran
Here Without You,3 Doors Down
Lost,LINKIN PARK
Dancin’ In The Country,Tyler Hubbard
Son Of A Sinner,Jelly Roll
Everywhere,Fleetwood Mac
Lift Me Up (From Black Panther: Wakanda Forever - Music From and Inspired By),Rihanna
"Set Me Free, Pt. 2",Jimin
Handle On You,Parker McCollum
Look At Us Now (Honeycomb),Daisy Jones & The Six
Unholy,Sam Smith & Kim Petras
"Forever and Ever, Amen",Randy Travis
Mother,Meghan Trainor
Bloody Mary,Lady Gaga
NASTY,Russ
"Boy's a liar, Pt. 2",PinkPantheress & Ice Spice
Escapism.,RAYE & 070 Shake
golden hour,JVKE
Hold On To Me,Lauren Daigle
I Wrote The Book,Morgan Wallen
10:35,Tiësto & Tate McRae
ICU,Coco Jones
Just Give Me a Reason (feat. Nate Ruess),P!nk
TQG,KAROL G & Shakira
BESO,ROSALÍA & Rauw Alejandro
Just Pretend,Bad Omens
Out of My Head,Fastball
"Going, Going, Gone",Luke Combs
Die For You (Remix),The Weeknd & Ariana Grande
Raid,BAD OPTIX
Lavender Haze,Taylor Swift
What He Didn't Do,Carly Pearce
More Than Able (feat. Chandler Moore & Tiffany Hudson),Elevation Worship
Creepin',"Metro Boomin, The Weeknd & 21 Savage"
Heaven,Niall Horan
Cowgirls (feat. ERNEST),Morgan Wallen
She Had Me At Heads Carolina,Cole Swindell
End of the World,Tom MacDonald & John Rich
God Is In This Story,Katy Nichole & Big Daddy Weave
Life’s Incredible Again,Gasteiz Big Band
Shivers,Ed Sheeran
Whiskey Glasses,Morgan Wallen
Face-off,Jimin
God Gave Me You,Blake Shelton
Tennessee Orange,Megan Moroney
Calm Down,Rema
